#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Ainotes


#Text=U petoj sezoni program je održan u skladu sa novim konceptom: jedan mladi fudbaler iz svake zemlje izabran je kao njen predstavnik.
1-1	0-1	U	PREP	ADP	_	_	u	_	_	_	_	_	_	_	
1-2	2-7	petoj	A	ADJ	_	_	peti	_	_	_	ENG30-02202712-a	1	ENG30-02202712-a	Reč 'peti' se ovde koristi u kontekstu numeracije sezona, gde označava da je program održan u petoj sezoni, odnosno neposredno posle četvrte i pre šeste.	
1-3	8-14	sezoni	N	NOUN	_	_	sezona	_	_	_	ENG30-15239579-n	1	ENG30-15239579-n	Ovde se reč 'sezona' odnosi na period godine koji označava posebne događaje ili aktivnosti, kao što su sportska takmičenja. U kontekstu, rečenica se odnosi na petu godišnju seriju ili period takmičenja.	
1-4	15-22	program	N	NOUN	_	_	program	_	_	_	NEW_SENSE	4	ENG30-03962685-n;ENG30-06568978-n;ENG30-06619428-n;ENG30-06676416-n	Nijedno od ponuđenih značenja ne odgovara kontekstu rečenice. U ovom slučaju, 'program' se odnosi na plan ili koncept događaja ili aktivnosti koji se sprovodi u skladu sa novim pristupom, a ne na računarski program, emisiju ili akademski program.	
1-5	23-25	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
1-6	26-32	održan	V	VERB	_	_	održati	_	_	_	ENG30-00118523-v	4	ENG30-00118523-v;ENG30-02202928-v;ENG30-02280132-v;ENG30-02679899-v	U ovom kontekstu, reč 'održati' se koristi u značenju produžiti postojanje na duži vremenski period, što se odnosi na to da je program nastavljen u skladu sa novim konceptom u petoj sezoni.	
1-7	33-34	u	PREP	ADP	_	_	u	1[729]	u skladu sa[729]	AdpID[729]	LLM-0289[2000]	1[2000]	LLM-0289[2000]	Izraz 'u skladu sa' se koristi u kontekstu opisivanja usklađenosti ili pridržavanja određenog koncepta ili pravila, što je slučaj u datoj rečenici gde se opisuje da je program održan u skladu sa novim konceptom.[2000]	
1-8	35-41	skladu	N	NOUN	_	_	sklad	1[729]	u skladu sa[729]	AdpID[729]	LLM-0289[2000]	1[2000]	LLM-0289[2000]	Izraz 'u skladu sa' se koristi u kontekstu opisivanja usklađenosti ili pridržavanja određenog koncepta ili pravila, što je slučaj u datoj rečenici gde se opisuje da je program održan u skladu sa novim konceptom.[2000]	
1-9	42-44	sa	PREP	ADP	_	_	sa	1[729]	u skladu sa[729]	AdpID[729]	LLM-0289[2000]	1[2000]	LLM-0289[2000]	Izraz 'u skladu sa' se koristi u kontekstu opisivanja usklađenosti ili pridržavanja određenog koncepta ili pravila, što je slučaj u datoj rečenici gde se opisuje da je program održan u skladu sa novim konceptom.[2000]	
1-10	45-50	novim	A	ADJ	_	_	nov	_	_	_	ENG30-02070491-a	6	ENG30-00418198-a;ENG30-00820975-a;ENG30-00821208-a;ENG30-01640850-a;ENG30-01687167-a;ENG30-02070491-a	Značenje 'drugčiji od prethodnog' se najpreciznije koristi u datom kontekstu jer se opisuje novi koncept koji se razlikuje od prethodnog načina održavanja programa.	
